route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,total_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,max_speed_mph,avg_speed_mph,trip_distance_miles
135716,15392.0,2022-02-12 17:13:13,2022-02-12 17:31:21,7,1,0,1,Completed,2022-07-23 23:53:13,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.07203382,-83.1245992,40.1208145,-83.15837412,65.228,25.092414013,3.37
135713,15392.0,2022-02-12 12:26:06,2022-02-12 12:37:45,7,1,0,1,Completed,2022-02-18 19:39:57,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.06557029,-83.08838943,40.09223859,-83.09337539,51.248,19.795877778,1.84
135713,15392.0,2022-02-12 12:26:06,2022-02-12 12:37:45,7,1,0,1,Completed,2022-02-18 19:39:57,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.06557029,-83.08838943,40.09223859,-83.09337539,51.248,19.795877778,1.84
135713,15392.0,2022-02-12 12:26:06,2022-02-12 12:37:45,7,1,0,1,Completed,2022-07-23 23:53:09,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.06557029,-83.08838943,40.09223859,-83.09337539,51.248,19.795877778,1.84
135713,15392.0,2022-02-12 12:26:06,2022-02-12 12:37:45,7,1,0,1,Completed,2022-07-23 23:53:09,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.06557029,-83.08838943,40.09223859,-83.09337539,51.248,19.795877778,1.84
135378,15392.0,2022-02-02 15:31:42,2022-02-02 15:51:12,7,1,0,1,Completed,2022-02-18 19:40:33,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.07209037,-83.12454516,40.10361941,-83.14133842,44.514,25.366621469,2.18
135378,15392.0,2022-02-02 15:31:42,2022-02-02 15:51:12,7,1,0,1,Completed,2022-02-18 19:40:33,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.07209037,-83.12454516,40.10361941,-83.14133842,44.514,25.366621469,2.18
135378,15392.0,2022-02-02 15:31:42,2022-02-02 15:51:12,7,1,0,1,Completed,2022-07-23 23:46:38,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.07209037,-83.12454516,40.10361941,-83.14133842,44.514,25.366621469,2.18
135378,15392.0,2022-02-02 15:31:42,2022-02-02 15:51:12,7,1,0,1,Completed,2022-07-23 23:46:38,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.07209037,-83.12454516,40.10361941,-83.14133842,44.514,25.366621469,2.18
135302,15392.0,2022-02-02 13:24:01,2022-02-02 13:54:30,7,1,0,1,Completed,2022-02-18 19:40:41,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.10353895,-83.16064284,40.09965438,-83.10868136,48.093,22.683241228,0.27
135302,15392.0,2022-02-02 13:24:01,2022-02-02 13:54:30,7,1,0,1,Completed,2022-02-18 19:40:41,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.10353895,-83.16064284,40.09965438,-83.10868136,48.093,22.683241228,0.27
135302,15392.0,2022-02-02 13:24:01,2022-02-02 13:54:30,7,1,0,1,Completed,2022-07-23 23:44:46,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.10353895,-83.16064284,40.09965438,-83.10868136,48.093,22.683241228,0.27
135302,15392.0,2022-02-02 13:24:01,2022-02-02 13:54:30,7,1,0,1,Completed,2022-07-23 23:44:46,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.10353895,-83.16064284,40.09965438,-83.10868136,48.093,22.683241228,0.27
