route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,total_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,min_speed_mph,max_speed_mph,avg_speed_mph,trip_distance_miles
138482,6.0,2022-02-17 12:54:41,2022-02-17 13:52:45,51,1,0,1,Completed,2022-07-24 00:44:13,Ford,,2010,14,0,2021-04-07 12:53:32,39.94068972,-83.05320269,39.94068972,-83.05320269,0.0,0.0,0.0,0.0
138482,6.0,2022-02-17 12:54:41,2022-02-17 13:52:45,51,1,0,1,Completed,2022-07-24 00:44:13,Ford,,2010,14,0,2022-01-06 17:31:56,39.94068972,-83.05320269,39.94068972,-83.05320269,0.0,0.0,0.0,0.0
140186,6.0,2022-02-26 11:59:17,2022-02-26 12:38:57,51,12,0,12,Completed,2022-03-22 19:44:39,Ford,,2010,14,0,2021-04-07 12:53:32,39.83574096,-82.96172535,40.00046003,-82.92947444,0.0,70.53,44.704431034,11.36
140186,6.0,2022-02-26 11:59:17,2022-02-26 12:38:57,51,12,0,12,Completed,2022-03-22 19:44:39,Ford,,2010,14,0,2022-01-06 17:31:56,39.83574096,-82.96172535,40.00046003,-82.92947444,0.0,70.53,44.704431034,11.36
140186,6.0,2022-02-26 11:59:17,2022-02-26 12:38:57,51,12,0,12,Completed,2022-07-24 01:14:00,Ford,,2010,14,0,2021-04-07 12:53:32,39.83574096,-82.96172535,40.00046003,-82.92947444,0.0,70.53,44.704431034,11.36
140186,6.0,2022-02-26 11:59:17,2022-02-26 12:38:57,51,12,0,12,Completed,2022-07-24 01:14:00,Ford,,2010,14,0,2022-01-06 17:31:56,39.83574096,-82.96172535,40.00046003,-82.92947444,0.0,70.53,44.704431034,11.36
140185,6.0,2022-02-26 09:59:39,2022-02-26 11:06:01,51,13,0,13,Completed,2022-03-22 19:44:42,Ford,,2010,14,0,2021-04-07 12:53:32,39.984342,-82.91754601,39.97878944,-82.97235286,0.0,67.8,31.128073529,0.38
140185,6.0,2022-02-26 09:59:39,2022-02-26 11:06:01,51,13,0,13,Completed,2022-03-22 19:44:42,Ford,,2010,14,0,2022-01-06 17:31:56,39.984342,-82.91754601,39.97878944,-82.97235286,0.0,67.8,31.128073529,0.38
140185,6.0,2022-02-26 09:59:39,2022-02-26 11:06:01,51,13,0,13,Completed,2022-07-24 01:13:59,Ford,,2010,14,0,2021-04-07 12:53:32,39.984342,-82.91754601,39.97878944,-82.97235286,0.0,67.8,31.128073529,0.38
140185,6.0,2022-02-26 09:59:39,2022-02-26 11:06:01,51,13,0,13,Completed,2022-07-24 01:13:59,Ford,,2010,14,0,2022-01-06 17:31:56,39.984342,-82.91754601,39.97878944,-82.97235286,0.0,67.8,31.128073529,0.38
138792,6.0,2022-02-22 14:30:06,2022-02-22 15:13:25,41,10,0,10,Completed,2022-02-22 15:13:27,Ford,F-350,2017,14,2,2021-03-31 17:29:22,39.98404604,-82.91721555,39.98404604,-82.91721555,0.0,0.0,0.0,0.0
138792,6.0,2022-02-22 14:30:06,2022-02-22 15:13:25,41,10,0,10,Completed,2022-02-22 15:13:27,Ford,F-350,2017,14,2,2022-01-02 14:58:56,39.98404604,-82.91721555,39.98404604,-82.91721555,0.0,0.0,0.0,0.0
138792,6.0,2022-02-22 14:30:06,2022-02-22 15:13:25,41,10,0,10,Completed,2022-02-22 15:13:27,Ford,F-350,2017,14,2,2022-07-31 18:26:34,39.98404604,-82.91721555,39.98404604,-82.91721555,0.0,0.0,0.0,0.0
138792,6.0,2022-02-22 14:30:06,2022-02-22 15:13:25,41,10,0,10,Completed,2022-07-24 00:50:01,Ford,F-350,2017,14,2,2021-03-31 17:29:22,39.98404604,-82.91721555,39.98404604,-82.91721555,0.0,0.0,0.0,0.0
138792,6.0,2022-02-22 14:30:06,2022-02-22 15:13:25,41,10,0,10,Completed,2022-07-24 00:50:01,Ford,F-350,2017,14,2,2022-01-02 14:58:56,39.98404604,-82.91721555,39.98404604,-82.91721555,0.0,0.0,0.0,0.0
