route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,max_speed_mph,avg_speed_mph,trip_distance_miles
155892,2167.0,2022-05-03 19:00:27,2022-05-03 20:34:40,55,14,0,Completed,2022-07-24 05:04:13,Ford,,2018,14,0,2021-05-18 08:58:15,40.09134302,-82.95574399,39.83083043,-82.98086231,75.183,37.194728625,17.97
155892,2167.0,2022-05-03 19:00:27,2022-05-03 20:34:40,55,14,0,Completed,2022-07-24 05:04:13,Ford,,2018,14,0,2022-01-02 14:57:02,40.09134302,-82.95574399,39.83083043,-82.98086231,75.183,37.194728625,17.97
155892,2167.0,2022-05-03 19:00:27,2022-05-03 20:34:40,55,14,0,Completed,2022-05-25 20:44:47,Ford,,2018,14,0,2021-05-18 08:58:15,40.09134302,-82.95574399,39.83083043,-82.98086231,75.183,37.194728625,17.97
155892,2167.0,2022-05-03 19:00:27,2022-05-03 20:34:40,55,14,0,Completed,2022-05-25 20:44:47,Ford,,2018,14,0,2022-01-02 14:57:02,40.09134302,-82.95574399,39.83083043,-82.98086231,75.183,37.194728625,17.97
155893,2167.0,2022-05-04 02:16:53,2022-05-04 03:32:04,55,11,0,Completed,2022-07-24 05:04:15,Ford,,2018,14,0,2021-05-18 08:58:15,39.83574117,-82.96169976,40.08534633,-82.96514957,78.359,38.49357529,17.22
155893,2167.0,2022-05-04 02:16:53,2022-05-04 03:32:04,55,11,0,Completed,2022-07-24 05:04:15,Ford,,2018,14,0,2022-01-02 14:57:02,39.83574117,-82.96169976,40.08534633,-82.96514957,78.359,38.49357529,17.22
155893,2167.0,2022-05-04 02:16:53,2022-05-04 03:32:04,55,11,0,Completed,2022-05-25 20:44:44,Ford,,2018,14,0,2021-05-18 08:58:15,39.83574117,-82.96169976,40.08534633,-82.96514957,78.359,38.49357529,17.22
155893,2167.0,2022-05-04 02:16:53,2022-05-04 03:32:04,55,11,0,Completed,2022-05-25 20:44:44,Ford,,2018,14,0,2022-01-02 14:57:02,39.83574117,-82.96169976,40.08534633,-82.96514957,78.359,38.49357529,17.22
155899,2167.0,2022-05-04 00:43:14,2022-05-04 01:41:20,55,13,0,Completed,2022-07-24 05:04:22,Ford,,2018,14,0,2021-05-18 08:58:15,40.08531435,-82.96512444,39.83574789,-82.96169845,70.575,39.376857456,17.22
155899,2167.0,2022-05-04 00:43:14,2022-05-04 01:41:20,55,13,0,Completed,2022-07-24 05:04:22,Ford,,2018,14,0,2022-01-02 14:57:02,40.08531435,-82.96512444,39.83574789,-82.96169845,70.575,39.376857456,17.22
155899,2167.0,2022-05-04 00:43:14,2022-05-04 01:41:20,55,13,0,Completed,2022-05-25 20:44:30,Ford,,2018,14,0,2021-05-18 08:58:15,40.08531435,-82.96512444,39.83574789,-82.96169845,70.575,39.376857456,17.22
155899,2167.0,2022-05-04 00:43:14,2022-05-04 01:41:20,55,13,0,Completed,2022-05-25 20:44:30,Ford,,2018,14,0,2022-01-02 14:57:02,40.08531435,-82.96512444,39.83574789,-82.96169845,70.575,39.376857456,17.22
155904,2167.0,2022-05-07 02:16:06,2022-05-07 03:41:03,55,11,0,Completed,2022-07-24 05:04:29,Ford,,2018,14,0,2021-05-18 08:58:15,39.83578386,-82.96173909,40.10698028,-82.90214733,76.413,41.963887477,18.71
155904,2167.0,2022-05-07 02:16:06,2022-05-07 03:41:03,55,11,0,Completed,2022-07-24 05:04:29,Ford,,2018,14,0,2022-01-02 14:57:02,39.83578386,-82.96173909,40.10698028,-82.90214733,76.413,41.963887477,18.71
155904,2167.0,2022-05-07 02:16:06,2022-05-07 03:41:03,55,11,0,Completed,2022-05-25 20:44:17,Ford,,2018,14,0,2021-05-18 08:58:15,39.83578386,-82.96173909,40.10698028,-82.90214733,76.413,41.963887477,18.71
155904,2167.0,2022-05-07 02:16:06,2022-05-07 03:41:03,55,11,0,Completed,2022-05-25 20:44:17,Ford,,2018,14,0,2022-01-02 14:57:02,39.83578386,-82.96173909,40.10698028,-82.90214733,76.413,41.963887477,18.71
